Car_ID,Brand,Year,Mileage_Km,Engine_CC,Power_BHP,Fuel_Type,Transmission,City,Seller_Type,Condition,Previous_Owners,Accidents_Reported,Service_Score,Resale_Price_Lakh
CAR0001,Skoda,2021,69708,1152,128.8,Diesel,Manual,Lucknow,Individual,Good,1,0,72,6.38
CAR0002,Toyota,2020,88881,903,146.5,Diesel,Automatic,Chandigarh,Individual,Good,1,0,87,4.83
CAR0003,Volkswagen,2021,43646,1446,185.9,Diesel,Automatic,Hyderabad,Individual,Very Good,2,0,90,7.3
CAR0004,Tata,2019,70847,2069,148.8,Petrol,Manual,Lucknow,Individual,Excellent,3,0,66,3.82
CAR0005,Tata,2016,101228,1657,206.0,Petrol,Automatic,Ahmedabad,Dealer,Very Good,2,0,84,1.93
CAR0006,Maruti,2018,80587,1169,154.4,Diesel,Manual,Delhi,Individual,Excellent,1,0,83,5.83
CAR0007,Kia,2016,102042,1168,147.0,Petrol,Manual,Bengaluru,Individual,Good,1,1,62,1.2
CAR0008,Kia,2015,93280,1227,151.4,Diesel,Manual,Hyderabad,Individual,Fair,2,0,74,1.2
CAR0009,Volkswagen,2017,105505,1202,189.3,Diesel,Manual,Lucknow,Dealer,Fair,1,0,66,1.61
CAR0010,Honda,2015,149183,1332,153.3,Diesel,Manual,Delhi,Certified Dealer,Very Good,1,0,67,1.2
CAR0011,Renault,2018,70901,1794,180.8,Diesel,Manual,Mumbai,Dealer,Very Good,2,1,74,3.46
CAR0012,Mahindra,2022,62341,1695,133.6,Petrol,Automatic,Chandigarh,Individual,Very Good,1,0,59,6.53
CAR0013,Maruti,2019,70357,1827,164.0,Petrol,Automatic,Lucknow,Individual,Excellent,1,0,94,4.92
CAR0014,Honda,2021,54767,1021,115.2,Petrol,Automatic,Hyderabad,Dealer,Good,1,0,91,5.91
CAR0015,Mahindra,2017,82418,600,148.5,Diesel,Automatic,Chandigarh,Certified Dealer,Good,1,1,67,3.07
CAR0016,Volkswagen,2017,64393,1108,168.8,Petrol,Manual,Delhi,Dealer,Good,2,0,63,1.92
CAR0017,Renault,2019,62319,1116,127.7,Petrol,Automatic,Bengaluru,Dealer,Excellent,4,1,93,3.69
CAR0018,Skoda,2019,72671,1114,138.2,Petrol,Automatic,Bengaluru,Individual,Good,2,0,83,4.01
CAR0019,Renault,2025,25638,1691,148.0,Diesel,Manual,Lucknow,Individual,Very Good,1,0,93,9.06
CAR0020,Volkswagen,2014,116022,989,137.2,Diesel,Manual,Delhi,Dealer,Good,3,0,61,1.2
CAR0021,Toyota,2024,46404,1328,139.2,Petrol,Automatic,Lucknow,Individual,Fair,3,0,88,7.97
CAR0022,Mahindra,2021,63234,1611,170.6,CNG,Manual,Bengaluru,Individual,Good,1,0,93,5.95
CAR0023,Tata,2019,92804,636,132.3,Petrol,Manual,Hyderabad,Individual,Very Good,2,0,79,2.65
CAR0024,Honda,2024,48307,1608,169.0,Diesel,Automatic,Bengaluru,Individual,Good,2,1,77,6.74
CAR0025,Honda,2018,96803,1592,132.7,Petrol,Automatic,Bengaluru,Dealer,Good,2,0,78,4.02
CAR0026,Volkswagen,2016,98454,697,127.5,Petrol,Automatic,Jaipur,Dealer,Good,1,0,96,2.11
CAR0027,Toyota,2022,44351,1473,190.5,Diesel,Manual,Ahmedabad,Dealer,Good,3,0,84,8.19
CAR0028,Skoda,2024,11874,1005,155.3,CNG,Manual,Kochi,Individual,Excellent,1,0,90,9.16
CAR0029,Skoda,2023,68386,1252,99.4,Diesel,Automatic,Hyderabad,Individual,Very Good,2,0,57,7.35
CAR0030,Kia,2016,103136,1038,178.0,Petrol,Manual,Ahmedabad,Individual,Poor,1,0,93,2.73
CAR0031,Tata,2023,33592,1505,128.7,Diesel,Manual,Bengaluru,Certified Dealer,Good,3,0,77,6.85
